date, time, typeNum, lat, lon
2008-09-19, 13:00:00, 01, 32.9573366666, -117.143776738
2008-07-20, 22:00:00, 02, 32.7581531915, -117.125022022
2009-05-25, 00:30:00, 03, 32.7967605349, -117.254577468
2011-04-22, 19:10:00, 04, 32.7572874778, -117.129870342
2012-05-12, 21:40:00, 03, 32.8360975558, -117.206645135
2010-12-21, 13:35:00, 05, 32.8203469054, -117.182418763
2009-09-23, 23:55:00, 06, 32.7072874078, -117.158729728
2008-10-12, 21:00:00, 07, 32.8368032555, -117.208681116
2008-06-06, 19:00:00, 00, 32.7749318297, -117.144024967
2007-03-20, 10:55:00, 04, 32.7550779819, -117.099457187
2011-05-13, 15:40:00, 00, 32.7919321601, -117.126213463
2011-09-12, 00:30:00, 08, 32.749915357, -117.162472294
2007-03-16, 20:00:00, 00, 32.8194628268, -117.11090125
2007-10-10, 14:15:00, 03, 32.9118079622, -117.102657245
2008-12-23, 10:35:00, 04, 32.7088853274, -117.153726692
2007-04-03, 21:48:00, 04, 32.7162430244, -117.155609826
2007-04-25, 06:50:00, 09, 32.744592715, -117.225853105
2008-01-28, 16:30:00, 07, 32.9040844993, -117.1338178
2010-12-29, 16:40:00, 10, 32.9190650769, -117.084074758
2009-12-15, 14:40:00, 09, 32.751672829, -117.161503344
2008-05-14, 16:45:00, 10, 32.7141438812, -117.159247452
2007-11-13, 02:00:00, 00, 32.5768666099, -117.024998026
2012-07-19, 11:30:00, 04, 32.7078430229, -117.14854539
2010-02-03, 22:30:00, 06, 32.7876872912, -117.097247539
2007-10-04, 03:17:00, 00, 32.795649763, -117.237590856
